Date,MeasuredLoad,TheirForecast,MyForecast,TheirMAPE,MyMAPE
2021-09-19 17:00,6189.0757,6287,6162.525433333333,1.582212025617972,0.4289859738937606
2021-09-19 16:00,6110.006,6285,6104.3091,2.864056107309873,0.093238860976582
2021-09-19 15:00,6031.2275,6245,6006.202466666667,3.544427730507596,0.4149243803741997
2021-09-19 14:00,5913.296,6190,5946.266,4.679353105273264,0.5575570713862344
2021-09-19 13:00,5847.6064,6119,5851.784333333333,4.64110580356435,0.0714468972011075
2021-09-19 12:00,5755.2,6042,5717.116166666667,4.98331943286072,0.6617291029561637
2021-09-19 11:00,5569.6523,5910,5652.141875,6.110753089560013,1.4810543020791531
2021-09-19 10:00,5455.3857,5740,5409.675724999999,5.217125161287867,0.8378871360094791
2021-09-19 09:00,5247.5103,5509,5184.693499999999,4.983119328036385,1.1970781648584952
2021-09-19 08:00,5014.2363,5287,4954.907425,5.439785516290894,1.1832085974886992
2021-09-19 07:00,4870.834,5094,4773.979225,4.581679441344135,1.9884638852401824
2021-09-19 06:00,4852.693,5024,5131.288049999999,3.530142953613587,5.741040078158643
2021-09-19 05:00,4928.512,5018,5086.68,1.8157204446291355,3.2092444940785487
2021-09-19 04:00,5046.3066,5069,5145.629,0.4497031551749176,1.968219687642444
2021-09-19 03:00,5250.7764,5188,5287.6935,1.1955641455233124,0.7030788818202309
2021-09-19 02:00,5531.036,5366,5448.92825,2.9838171366087662,1.4844913321844249
2021-09-19 01:00,5840.429,5600,5714.938675,4.116632528192707,2.1486490975234824
2021-09-19 00:00,6099.504,5897,6044.595175,3.3200076596392085,0.900217870174354
2021-09-18 23:00,6454.2686,6257,6440.517999999999,3.056405182765408,0.2130466029876911
2021-09-18 22:00,6702.6636,6494,6684.661899999999,3.113144452005616,0.2685753168337541
2021-09-18 21:00,6877.036,6698,6874.082357142857,2.6033890181758546,0.0429493586647324
2021-09-18 20:00,6989.3823,6833,6966.849771428571,2.2374266177999766,0.3223822593225282
2021-09-18 19:00,7010.2227,6910,7048.248657142858,1.4296649948082285,0.5424357936996467
2021-09-18 18:00,7181.2827,6886,7168.9314,4.111837847575611,0.1719929505072868
2021-09-18 17:00,7249.052,7042,7122.437819999999,2.856263136200426,1.746630869802017
2021-09-18 16:00,7185.161,7047,7117.93164,1.9228657506769864,0.9356694999597124
2021-09-18 15:00,7139.573,6991,7049.233600000001,2.080978792429188,1.265333374979133
2021-09-18 14:00,6999.9624,6894,6955.471119999999,1.5137567024645782,0.6355931283288193
2021-09-18 13:00,6902.961,6773,6905.616459999999,1.8826848362608488,0.0384684195666039
2021-09-18 12:00,6717.658,6667,6778.44592,0.7541020992732936,0.9048975104121072
2021-09-18 11:00,6478.366,6486,6426.466666666667,0.1178383561533882,0.8011176480818286
2021-09-18 10:00,6179.6865,6232,6143.8,0.8465397071518144,0.5807171609757164
2021-09-18 09:00,5816.963,5951,5848.8,2.3042436405388904,0.5473130910408136
2021-09-18 08:00,5502.8545,5675,5478.466666666667,3.1282945969223723,0.4431851384283051
2021-09-18 07:00,5221.714,5389,5182.133333333333,3.203660713704352,0.7580014276282985
2021-09-18 06:00,5103.1387,5194,5326.078659999999,1.78049834310793,4.368683140044749
2021-09-18 05:00,5012.4775,5085,5078.785,1.446839412246739,1.322848830742879
2021-09-18 04:00,5075.6914,5076,5076.129559999999,0.0060799598651781,0.0086325185175698
2021-09-18 03:00,5219.8047,5158,5191.09062,1.1840423838079552,0.5500987422000624
2021-09-18 02:00,5392.7627,5299,5346.04934,1.738676541432098,0.8662231698049805
2021-09-18 01:00,5586.4526,5495,5568.5258,1.6370424408505608,0.3208977375015994
2021-09-18 00:00,5870.582,5760,5864.15292,1.883663323329788,0.1095135030905078
2021-09-17 23:00,6179.1963,6050,6186.79606,2.090826925177949,0.1229894573829943
2021-09-17 22:00,6488.172,6366,6404.65,1.882995703566422,1.2872963293821424
2021-09-17 21:00,6712.2695,6693,6679.1,0.2870787592780703,0.4941622203935639
2021-09-17 20:00,6907.5693,6924,6928.25,0.2378651488881897,0.299391856987955
2021-09-17 19:00,7038.0,7154,7047.700000000001,1.6481955100880932,0.1378232452401353
2021-09-17 18:00,7214.291,7330,7244.450000000001,1.6038859535885068,0.4180452382638926
2021-09-17 17:00,7277.775,7633,7334.25,4.880956061433617,0.7759926625926243
2021-09-17 16:00,7283.6025,7700,7369.65,5.716916869090537,1.1813865460120825
2021-09-17 15:00,7252.4673,7672,7246.6,5.784689301529147,0.0809007439440628
2021-09-17 14:00,7317.256,7639,7317.35,4.397058132174133,0.0012846345679316
2021-09-17 13:00,7192.207,7615,7281.5,5.878487646420628,1.241524333212318
2021-09-17 12:00,7143.202,7535,7255.3,5.484907188680928,1.5692962343778034
2021-09-17 11:00,7117.6396,7418,7115.3728,4.219943926354455,0.0318476366800073
2021-09-17 10:00,6999.9463,7232,7035.763666666667,3.315078288529162,0.5116805919877859
2021-09-17 09:00,6813.0674,7049,6847.338500000001,3.462942403886979,0.5030201227717319
2021-09-17 08:00,6526.827,6713,6547.4798,2.85242737397513,0.3164294074287527
2021-09-17 07:00,6147.9893,6304,6089.327233333333,2.5375889967798058,0.9541667007564044
2021-09-17 06:00,5649.172,5880,5584.370328571429,4.086050132656617,1.1471003437064835
2021-09-17 05:00,5311.803,5416,5307.694571428571,1.96161265769834,0.0773452737503387
2021-09-17 04:00,5278.259,5236,5297.330371428571,0.8006238420661058,0.3613193560333281
2021-09-17 03:00,5402.79,5271,5382.867614285715,2.439295253008168,0.3687425517979628
2021-09-17 02:00,5514.5547,5398,5545.015314285714,2.113583169281097,0.5523676152077095
2021-09-17 01:00,5750.3467,5597,5765.987371428572,2.6667383377075344,0.271995276886039
2021-09-17 00:00,6026.122,5875,6063.816128571429,2.507781953302643,0.6255122045559041
2021-09-16 23:00,6371.958,6219,6432.061728571428,2.4004866322094345,0.9432536838979212
2021-09-16 22:00,6661.5254,6581,6555.299849999999,1.2088132246707404,1.594612999599176
2021-09-16 21:00,6870.534,6958,6813.461499999999,1.2730597068583076,0.8306850675653482
2021-09-16 20:00,6991.0674,7192,7027.3755,2.874133354800729,0.5193498778169439
2021-09-16 19:00,7016.4937,7379,7099.1865,5.166487928293872,1.1785487671712698
2021-09-16 18:00,7261.3438,7554,7372.905000000001,4.030331135126812,1.536371270562909
2021-09-16 17:00,7338.982,7834,7354.4798,6.745049926542947,0.2111709771191712
2021-09-16 16:00,7285.98,7871,7380.171424999999,8.029393437807961,1.292776332078869
2021-09-16 15:00,7338.868,7828,7350.6701,6.664951597439818,0.1608163547838696
2021-09-16 14:00,7376.5396,7777,7407.444675,5.428838204840654,0.4189644016823236
2021-09-16 13:00,7441.961,7757,7374.430325000001,4.23327937354146,0.9074311864843024
2021-09-16 12:00,7337.747,7677,7331.60075,4.623394619629154,0.0837620866459512
2021-09-16 11:00,7120.0015,7530,7162.742033333333,5.758404685729345,0.6002882630478754
2021-09-16 10:00,6957.861,7353,6982.682133333333,5.679029805280676,0.3567351134685345
2021-09-16 09:00,6810.0796,7164,6790.6911666666665,5.19700826991802,0.284702007496851
2021-09-16 08:00,6594.0264,6842,6488.010333333333,3.7605794238251806,1.6077592086478003
2021-09-16 07:00,6183.5137,6441,6045.002666666667,4.164077456479146,2.240005279414732
2021-09-16 06:00,5840.8154,6057,5945.226575000001,3.701274311802417,1.7876129932132452
2021-09-16 05:00,5590.725,5622,5634.995275,0.5594086634559853,0.7918521300904597
2021-09-16 04:00,5595.2573,5458,5607.877925000001,2.45310077161242,0.2255593321865729
2021-09-16 03:00,5736.722,5513,5690.608499999999,3.899822930237856,0.8038301315629446
2021-09-16 02:00,5928.5654,5668,5859.13975,4.395083505362029,1.1710362510296357
2021-09-16 01:00,6219.809,5903,6103.742075,5.093548692572396,1.8660850357301983
2021-09-16 00:00,6543.2944,6198,6411.214475,5.277072662357967,2.0185539107028414
2021-09-15 23:00,6987.386,6613,6783.911525,5.358026592491103,2.9120256845693206
2021-09-15 22:00,7512.751,7047,7600.665859999999,6.199473401953561,1.170208622647003
2021-09-15 21:00,7836.7593,7505,7895.9785,4.2333736089099965,0.7556592940145611
2021-09-15 20:00,8158.33,7791,8141.741960000001,4.502514607768991,0.2033264160679787
2021-09-15 19:00,8296.016,8000,8282.172900000001,3.568170553190828,0.1668644322768691
2021-09-15 18:00,8618.094,8238,8648.18554,4.41041835932631,0.3491669967860789
2021-09-15 17:00,8920.174,8628,9143.0334,3.275429380637652,2.4983750316978046
2021-09-15 16:00,8946.552,8727,9093.83068,2.4540403945564693,1.6462060467541155
2021-09-15 15:00,8909.0,8662,8960.9136,2.7724772701762266,0.5827096194859115
2021-09-15 14:00,8822.146,8530,8793.103599999999,3.311507200175565,0.3291988139847389
2021-09-15 13:00,8579.322,8395,8598.358,2.148444830488937,0.2218823352241594
2021-09-15 12:00,8383.282,8206,8363.1489,2.114708773962265,0.2401577329737817
2021-09-15 11:00,8074.306,7960,7968.2401,1.4156758487974024,1.3136224958528897
2021-09-15 10:00,7739.498,7711,7694.64125,0.368215096121216,0.5795821641145191
2021-09-15 09:00,7388.7217,7443,7372.63965,0.7346101559082939,0.2176567294448237
2021-09-15 08:00,6919.468,7051,6943.7553,1.90089758345584,0.3509995277093551
2021-09-15 07:00,6414.0015,6587,6428.659025,2.6972008035857127,0.2285238785803156
2021-09-15 06:00,5942.9043,6105,5791.1995,2.727550231626645,2.5527047440424107
2021-09-15 05:00,5536.1777,5641,5492.52314,1.893405625328822,0.7885324923728504
2021-09-15 04:00,5468.617,5433,5453.267519999999,0.6512981252846961,0.2806830319256361
2021-09-15 03:00,5529.9653,5456,5540.73538,1.3375364217927344,0.1947585457724343
2021-09-15 02:00,5704.2695,5584,5701.281779999999,2.108411953537615,0.0523769082088598
2021-09-15 01:00,5948.5293,5785,5933.7422,2.7490711023311283,0.2485841332243327
2021-09-15 00:00,6236.8955,6063,6255.22644,2.7881740202316943,0.2939112896793082
2021-09-14 23:00,6579.721,6204,6607.327679999999,5.710287715846912,0.4195721976661301
2021-09-14 22:00,6868.583,6555,6872.011675,4.565468598108222,0.0499182291311048
2021-09-14 21:00,7092.0234,6859,7094.99425,3.2857110990355736,0.0418900197086165
2021-09-14 20:00,7244.518,7069,7244.259575,2.422769879238343,0.0035671800387546
2021-09-14 19:00,7298.515,7225,7348.689299999999,1.007259695979255,0.6874590241987413
2021-09-14 18:00,7583.631,7405,7695.671324999999,2.355481167266713,1.4773968432799411
2021-09-14 17:00,7757.5156,7693,7860.53176,0.8316528554579989,1.327952985360418
2021-09-14 16:00,7723.349,7740,7869.57154,0.2155930024656381,1.893253043465985
2021-09-14 15:00,7777.985,7673,7777.91994,1.3497711810963853,0.0008364634285088
2021-09-14 14:00,7806.279,7556,7712.7307,3.206124198225562,1.1983724896330297
2021-09-14 13:00,7662.391,7464,7622.91426,2.5891526548305825,0.5152013255392365
2021-09-14 12:00,7560.81,7349,7504.83552,2.801419424638371,0.7403238541902237
2021-09-14 11:00,7350.166,7185,7358.882579999999,2.247105711626107,0.1185902468053012
2021-09-14 10:00,7195.4077,7032,7158.257059999999,2.27099987676862,0.516310423938879
2021-09-14 09:00,6959.4307,6861,6921.432359999999,1.414349883532857,0.5459978213447978
2021-09-14 08:00,6562.4707,6574,6566.07944,0.1756853558218576,0.0549905693293178
2021-09-14 07:00,6161.5356,6162,6124.6301,0.0075370821520505,0.5989659460865543
2021-09-14 06:00,5718.792,5736,5782.6741,0.3009027081243666,1.117055839764758
2021-09-14 05:00,5381.452,5318,5395.481666666667,1.1790869824723926,0.2607041123225914
2021-09-14 04:00,5348.8047,5165,5279.357233333333,3.436369624787379,1.2983735724481869
2021-09-14 03:00,5455.0107,5216,5343.850333333333,4.381489114219333,2.037766244283755
2021-09-14 02:00,5606.0586,5364,5490.296766666666,4.317803599127563,2.0649415497250407
2021-09-14 01:00,5817.9097,5598,5701.8876666666665,3.7798747546734894,1.994221968301324
2021-09-14 00:00,6184.9307,5907,5996.224466666667,4.493675248455086,3.051064635749813
2021-09-13 23:00,6545.712,6362,6352.118233333334,2.806600718149537,2.957566215358495
2021-09-13 22:00,7239.738,6765,7239.563766666666,6.557391994019676,0.0024066248438007
2021-09-13 21:00,7609.7573,7139,7489.856466666667,6.186232772495914,1.5756196762455636
2021-09-13 20:00,7892.2397,7416,7697.766333333333,6.034278203689126,2.464108720198489
2021-09-13 19:00,7955.8374,7622,7851.448133333334,4.196131509676157,1.3121091020118902
2021-09-13 18:00,8323.459,7836,8227.535533333334,5.856447421678904,1.1524471576860902
2021-09-13 17:00,8546.125,8187,8566.593166666667,4.202196902104755,0.2395023085511557
2021-09-13 16:00,8428.049,8300,8542.368166666667,1.5193195957925836,1.35641317067172
2021-09-13 15:00,8308.625,8276,8423.386,0.3926642494997668,1.381227339060319
2021-09-13 14:00,8274.911,8178,8315.248,1.1711425053393332,0.4874614361411202
2021-09-13 13:00,8129.1343,8075,8216.250566666668,0.6659294581958095,1.071654907542465
2021-09-13 12:00,7939.661,7938,8049.2167666666655,0.0209202886621992,1.379854463139742
2021-09-13 11:00,7748.8657,7720,7685.857283333334,0.3725151669617953,0.813130838835761
2021-09-13 10:00,7526.5615,7510,7462.425950000001,0.2200407184608774,0.8521228452062614
2021-09-13 09:00,7183.702,7271,7192.425666666667,1.2152230145404108,0.1214369230052521
2021-09-13 08:00,6732.6387,6909,6811.083566666667,2.619497463899252,1.1651429723485194
2021-09-13 07:00,6344.718,6447,6345.1419166666665,1.6120811043138583,0.0066814106894369
2021-09-13 06:00,5853.3223,5993,5244.247114285715,2.386297778272011,10.40563212646406
2021-09-13 05:00,5495.345,5550,5247.498542857144,0.9945690397964048,4.510116419312285
2021-09-13 04:00,5393.9717,5338,5299.221442857143,1.0376713693177153,1.7565953700286705
2021-09-13 03:00,5484.951,5343,5420.7044,2.588008534625013,1.1713249580534155
2021-09-13 02:00,5589.0903,5457,5582.592785714286,2.363359561394094,0.1162535213595279
2021-09-13 01:00,5790.863,5633,5791.378457142857,2.726070362914824,0.0089012146005971
2021-09-13 00:00,6044.7734,5840,6057.118314285714,3.3876108573399963,0.2042245998123663
2021-09-12 23:00,6356.0547,6166,6308.248542857144,2.990136318367425,0.7521357099531591
2021-09-12 22:00,6685.0303,6489,6659.5,2.93237713522406,0.3819025322892007
2021-09-12 21:00,6832.467,6734,6852.450000000001,1.4411631991782712,0.2924712259861787
2021-09-12 20:00,6880.5117,6849,6917.05,0.4579848327269034,0.5310404457273165
2021-09-12 19:00,6808.167,6875,6830.4,0.9816592336821296,0.3265636697807099
2021-09-12 18:00,6818.8135,6805,6871.9,0.2025792317094492,0.7785298718024687
2021-09-12 17:00,6783.742,6867,6623.9458,1.2273167228352702,2.355576022790971
2021-09-12 16:00,6690.294,6840,6585.419959999999,2.2376595109273247,1.5675550282244786
2021-09-12 15:00,6557.049,6762,6503.3337200000005,3.1256591189115714,0.8191990024780879
